Date,People
2020-01-1 0:00,8
2020-01-1 1:00,16
2020-01-1 2:00,16
2020-01-1 3:00,6
2020-01-1 4:00,9
2020-01-1 5:00,11
2020-01-1 6:00,16
2020-01-1 7:00,8
2020-01-1 8:00,33
2020-01-1 9:00,18
2020-01-1 10:00,11
2020-01-1 11:00,16
2020-01-1 12:00,10
2020-01-1 13:00,10
2020-01-1 14:00,36
2020-01-1 15:00,15
2020-01-1 16:00,11
2020-01-1 17:00,5
2020-01-1 18:00,17
2020-01-1 19:00,11
2020-01-1 20:00,43
2020-01-1 21:00,10
2020-01-1 22:00,18
2020-01-1 23:00,7
2020-01-2 0:00,5
2020-01-2 1:00,19
2020-01-2 2:00,14
2020-01-2 3:00,7
2020-01-2 4:00,5
2020-01-2 5:00,5
2020-01-2 6:00,6
2020-01-2 7:00,15
2020-01-2 8:00,38
2020-01-2 9:00,9
2020-01-2 10:00,18
2020-01-2 11:00,13
2020-01-2 12:00,18
2020-01-2 13:00,20
2020-01-2 14:00,40
2020-01-2 15:00,9
2020-01-2 16:00,13
2020-01-2 17:00,19
2020-01-2 18:00,17
2020-01-2 19:00,8
2020-01-2 20:00,41
2020-01-2 21:00,18
2020-01-2 22:00,19
2020-01-2 23:00,15
2020-01-3 0:00,5
2020-01-3 1:00,13
2020-01-3 2:00,8
2020-01-3 3:00,8
2020-01-3 4:00,5
2020-01-3 5:00,13
2020-01-3 6:00,10
2020-01-3 7:00,17
2020-01-3 8:00,39
2020-01-3 9:00,18
2020-01-3 10:00,10
2020-01-3 11:00,18
2020-01-3 12:00,7
2020-01-3 13:00,7
2020-01-3 14:00,37
2020-01-3 15:00,11
2020-01-3 16:00,17
2020-01-3 17:00,17
2020-01-3 18:00,8
2020-01-3 19:00,18
2020-01-3 20:00,43
2020-01-3 21:00,18
2020-01-3 22:00,14
2020-01-3 23:00,19
2020-01-4 0:00,17
2020-01-4 1:00,10
2020-01-4 2:00,20
2020-01-4 3:00,13
2020-01-4 4:00,20
2020-01-4 5:00,12
2020-01-4 6:00,5
2020-01-4 7:00,19
2020-01-4 8:00,32
2020-01-4 9:00,13
2020-01-4 10:00,10
2020-01-4 11:00,10
2020-01-4 12:00,14
2020-01-4 13:00,17
2020-01-4 14:00,38
2020-01-4 15:00,16
2020-01-4 16:00,8
2020-01-4 17:00,8
2020-01-4 18:00,14
2020-01-4 19:00,9
2020-01-4 20:00,46
2020-01-4 21:00,12
2020-01-4 22:00,9
2020-01-4 23:00,19
2020-01-5 0:00,6
2020-01-5 1:00,15
2020-01-5 2:00,12
2020-01-5 3:00,7
2020-01-5 4:00,18
2020-01-5 5:00,15
2020-01-5 6:00,6
2020-01-5 7:00,16
2020-01-5 8:00,36
2020-01-5 9:00,20
2020-01-5 10:00,20
2020-01-5 11:00,6
2020-01-5 12:00,11
2020-01-5 13:00,18
2020-01-5 14:00,31
2020-01-5 15:00,12
2020-01-5 16:00,20
2020-01-5 17:00,8
2020-01-5 18:00,16
2020-01-5 19:00,14
2020-01-5 20:00,50
2020-01-5 21:00,15
2020-01-5 22:00,14
2020-01-5 23:00,20
2020-01-6 0:00,7
2020-01-6 1:00,10
2020-01-6 2:00,8
2020-01-6 3:00,11
2020-01-6 4:00,6
2020-01-6 5:00,8
2020-01-6 6:00,17
2020-01-6 7:00,12
2020-01-6 8:00,37
2020-01-6 9:00,16
2020-01-6 10:00,14
2020-01-6 11:00,20
2020-01-6 12:00,14
2020-01-6 13:00,18
2020-01-6 14:00,33
2020-01-6 15:00,16
2020-01-6 16:00,9
2020-01-6 17:00,17
2020-01-6 18:00,17
2020-01-6 19:00,16
2020-01-6 20:00,40
2020-01-6 21:00,18
2020-01-6 22:00,20
2020-01-6 23:00,7
2020-01-7 0:00,20
2020-01-7 1:00,11
2020-01-7 2:00,5
2020-01-7 3:00,17
2020-01-7 4:00,8
2020-01-7 5:00,17
2020-01-7 6:00,20
2020-01-7 7:00,11
2020-01-7 8:00,30
2020-01-7 9:00,5
2020-01-7 10:00,18
2020-01-7 11:00,15
2020-01-7 12:00,18
2020-01-7 13:00,5
2020-01-7 14:00,33
2020-01-7 15:00,17
2020-01-7 16:00,8
2020-01-7 17:00,8
2020-01-7 18:00,9
2020-01-7 19:00,8
2020-01-7 20:00,45
2020-01-7 21:00,17
2020-01-7 22:00,16
2020-01-7 23:00,20
2020-01-8 0:00,15
2020-01-8 1:00,13
2020-01-8 2:00,18
2020-01-8 3:00,18
2020-01-8 4:00,17
2020-01-8 5:00,9
2020-01-8 6:00,20
2020-01-8 7:00,17
2020-01-8 8:00,38
2020-01-8 9:00,5
2020-01-8 10:00,19
2020-01-8 11:00,17
2020-01-8 12:00,12
2020-01-8 13:00,7
2020-01-8 14:00,40
2020-01-8 15:00,10
2020-01-8 16:00,14
2020-01-8 17:00,10
2020-01-8 18:00,12
2020-01-8 19:00,8
2020-01-8 20:00,45
2020-01-8 21:00,15
2020-01-8 22:00,20
2020-01-8 23:00,16
2020-01-9 0:00,6
2020-01-9 1:00,15
2020-01-9 2:00,5
2020-01-9 3:00,15
2020-01-9 4:00,13
2020-01-9 5:00,5
2020-01-9 6:00,20
2020-01-9 7:00,11
2020-01-9 8:00,36
2020-01-9 9:00,10
2020-01-9 10:00,17
2020-01-9 11:00,10
2020-01-9 12:00,9
2020-01-9 13:00,14
2020-01-9 14:00,35
2020-01-9 15:00,10
2020-01-9 16:00,12
2020-01-9 17:00,8
2020-01-9 18:00,16
2020-01-9 19:00,17
2020-01-9 20:00,47
2020-01-9 21:00,17
2020-01-9 22:00,5
2020-01-9 23:00,9
2020-01-10 0:00,6
2020-01-10 1:00,5
2020-01-10 2:00,16
2020-01-10 3:00,16
2020-01-10 4:00,7
2020-01-10 5:00,10
2020-01-10 6:00,5
2020-01-10 7:00,7
2020-01-10 8:00,40
2020-01-10 9:00,7
2020-01-10 10:00,11
2020-01-10 11:00,13
2020-01-10 12:00,13
2020-01-10 13:00,10
2020-01-10 14:00,38
2020-01-10 15:00,10
2020-01-10 16:00,9
2020-01-10 17:00,8
2020-01-10 18:00,11
2020-01-10 19:00,13
2020-01-10 20:00,50
2020-01-10 21:00,15
2020-01-10 22:00,13
