Date,People
1/1/2020 0:00,11
1/1/2020 1:00,15
1/1/2020 2:00,16
1/1/2020 3:00,6
1/1/2020 4:00,14
1/1/2020 5:00,6
1/1/2020 6:00,16
1/1/2020 7:00,18
1/1/2020 8:00,31
1/1/2020 9:00,20
1/1/2020 10:00,9
1/1/2020 11:00,19
1/1/2020 12:00,17
1/1/2020 13:00,9
1/1/2020 14:00,32
1/1/2020 15:00,15
1/1/2020 16:00,12
1/1/2020 17:00,16
1/1/2020 18:00,16
1/1/2020 19:00,20
1/1/2020 20:00,49
1/1/2020 21:00,10
1/1/2020 22:00,14
1/1/2020 23:00,7
2/1/2020 0:00,6
2/1/2020 1:00,16
2/1/2020 2:00,16
2/1/2020 3:00,15
2/1/2020 4:00,18
2/1/2020 5:00,16
2/1/2020 6:00,10
2/1/2020 7:00,15
2/1/2020 8:00,37
2/1/2020 9:00,18
2/1/2020 10:00,6
2/1/2020 11:00,17
2/1/2020 12:00,7
2/1/2020 13:00,18
2/1/2020 14:00,33
2/1/2020 15:00,5
2/1/2020 16:00,14
2/1/2020 17:00,13
2/1/2020 18:00,16
2/1/2020 19:00,14
2/1/2020 20:00,49
2/1/2020 21:00,17
2/1/2020 22:00,13
2/1/2020 23:00,6
3/1/2020 0:00,15
3/1/2020 1:00,17
3/1/2020 2:00,5
3/1/2020 3:00,15
3/1/2020 4:00,20
3/1/2020 5:00,19
3/1/2020 6:00,16
3/1/2020 7:00,14
3/1/2020 8:00,32
3/1/2020 9:00,12
3/1/2020 10:00,13
3/1/2020 11:00,10
3/1/2020 12:00,7
3/1/2020 13:00,15
3/1/2020 14:00,35
3/1/2020 15:00,14
3/1/2020 16:00,8
3/1/2020 17:00,5
3/1/2020 18:00,19
3/1/2020 19:00,20
3/1/2020 20:00,42
3/1/2020 21:00,11
3/1/2020 22:00,7
3/1/2020 23:00,13
4/1/2020 0:00,19
4/1/2020 1:00,5
4/1/2020 2:00,12
4/1/2020 3:00,11
4/1/2020 4:00,6
4/1/2020 5:00,16
4/1/2020 6:00,8
4/1/2020 7:00,17
4/1/2020 8:00,34
4/1/2020 9:00,16
4/1/2020 10:00,17
4/1/2020 11:00,13
4/1/2020 12:00,20
4/1/2020 13:00,15
4/1/2020 14:00,33
4/1/2020 15:00,10
4/1/2020 16:00,9
4/1/2020 17:00,18
4/1/2020 18:00,14
4/1/2020 19:00,20
4/1/2020 20:00,47
4/1/2020 21:00,5
4/1/2020 22:00,17
4/1/2020 23:00,13
5/1/2020 0:00,12
5/1/2020 1:00,5
5/1/2020 2:00,7
5/1/2020 3:00,6
5/1/2020 4:00,9
5/1/2020 5:00,8
5/1/2020 6:00,16
5/1/2020 7:00,16
5/1/2020 8:00,38
5/1/2020 9:00,14
5/1/2020 10:00,10
5/1/2020 11:00,9
5/1/2020 12:00,7
5/1/2020 13:00,5
