Date,People
2019/10/01 22,99
2019/10/01 09,1
2019/10/01 10,2
2019/10/01 11,3
2019/10/01 12,4
2019/10/01 13,10
2019/10/01 14,15
2019/10/01 15,20
2019/10/01 16,10
2019/10/01 17,40
2019/10/01 18,30
2019/10/01 19,20
2019/10/01 20,100
2019/10/01 21,50
2019/10/01 22,20
2019/10/01 23,15
2019/10/02 00,10
2019/10/02 01,0
2019/10/02 02,50
2019/10/02 03,40
2019/10/02 04,80
2019/10/02 05,90
2019/10/02 05,70
2019/10/02 06,30
2019/10/02 07,60
2019/10/01 08,5
2019/06/09 11,2
2019/05/23 11,5
2019/04/01 22,120
2019/05/01 22,78
2019/06/01 22,90
2019/07/01 22,50
2019/08/01 22,47
2019/09/01 22,46
2019/10/01 22,182
2019/11/25 21,18
2019/12/13 20,45
2019/11/29 16,90
2019/12/29 16,70
2019/10/29 11,5
2019/10/29 11,7
2019/11/05 09,17
2019/11/05 12,8
2019/11/20 08,0
2019/11/20 09,3
2019/11/20 10,6
2019/11/20 11,10
2019/11/20 12,14
2019/11/20 13,19
2019/11/20 14,23
2019/11/20 15,32
2019/11/20 16,27
2019/11/20 17,24
2019/11/20 18,24
2019/11/20 19,19
2019/11/20 21,23
2019/11/20 22,25
2019/11/20 23,22
2019/11/21 00,25
2019/11/21 01,18
2019/11/21 03,34
2019/11/21 04,36
2019/11/21 05,39
2019/11/21 06,41
2019/11/21 07,13
2019/11/20 20,23
2019/11/21 02,32
2019/11/14 17,39
2019/11/15 17,35
2019/11/16 17,31
2019/11/17 17,35
2019/11/18 17,33
2019/11/19 17,29
2019/11/20 17,36
2019/12/21 14,5
2019/12/21 14,10
2019/12/21 14,15
2019/12/21 14,20
2019/12/21 14,25
2019/12/21 14,30
2019/12/21 14,35
2019/12/21 14,40
2019/12/21 14,45
2019/12/21 14,47
2019/12/21 14,49
2019/12/21 14,51
2019/12/21 14,4
2019/12/21 14,4
2019/12/21 14,6
2019/12/21 14,8
2019/12/21 14,10
